Jogador;Clube;Clube.1;Quantia paga;Unnamed: 4;CONTEXTO_ORIGEM
Morato;;Ituano;-;;Saídas 18/19
€ 30.00 mi.;€ 30.00 mi.;€ 30.00 mi.;€ 30.00 mi.;€ 30.00 mi.;Saídas 18/19
Éverton;;Flamengo;€ 3.50 mi.;;Entradas 17/18
Diego Souza;;Sport;€ 2.56 mi.;;Entradas 17/18
Petros;;Betis;€ 2.50 mi.;;Entradas 17/18
Robert Arboleda;;Univ. Católica;€ 1.80 mi.;;Entradas 17/18
Santiago Tréllez;;Vitória;€ 1.55 mi.;;Entradas 17/18
Jean;;Bahia;€ 1.50 mi.;;Entradas 17/18
Jucilei;;Shandong;€ 1.20 mi.;;Entradas 17/18
Aderllan Santos;;Valencia;Valor de empréstimo: € 800 mil;;Entradas 17/18
Jonatan Gómez;;Indep. Santa Fe;€ 720 mil;;Entradas 17/18
Gonzalo Carneiro;;Defensor SC;€ 650 mil;;Entradas 17/18
Régis;;Sport;€ 340 mil;;Entradas 17/18
Léo Natel;;Benfica;€ 135 mil;;Entradas 17/18
Edimar;;Cruzeiro;€ 100 mil;;Entradas 17/18
Anderson Martins;;Vasco da Gama;custo zero;;Entradas 17/18
Marcos Guilherme;;Atlético-PR;Empréstimo;;Entradas 17/18
Bruno Alves;;Figueirense;custo zero;;Entradas 17/18
Régis Souza;;São Bento;custo zero;;Entradas 17/18
Valdívia;;Internacional;Empréstimo;;Entradas 17/18
Nenê;;Vasco da Gama;custo zero;;Entradas 17/18
Denilson Junior;;Granada B;Empréstimo;;Entradas 17/18
Hernanes;;HB CFFC;Empréstimo;;Entradas 17/18
Húdson;;Cruzeiro;Fim do empréstimo;;Entradas 17/18
Léo Vieira;;Paraná;Fim do empréstimo;;Entradas 17/18
Reinaldo;;Chapecoense;Fim do empréstimo;;Entradas 17/18
Artur;;Columbus Crew;Fim do empréstimo;;Entradas 17/18
Carlinhos;;Internacional;Fim do empréstimo;;Entradas 17/18
Daniel;;Coritiba;Fim do empréstimo;;Entradas 17/18
Matheus Reis;;Bahia;Fim do empréstimo;;Entradas 17/18
Breno;;Vasco da Gama;Fim do empréstimo;;Entradas 17/18
Wellington;;Vasco da Gama;Fim do empréstimo;;Entradas 17/18
Roni;;Belenenses;Fim do empréstimo;;Entradas 17/18
Daniel;;Ponte Preta;Fim do empréstimo;;Entradas 17/18
Léo Natel;;Fortaleza;Fim do empréstimo;;Entradas 17/18
Lucas Kal;;Guarani;Fim do empréstimo;;Entradas 17/18
Thomaz;;RB Brasil;Fim do empréstimo;;Entradas 17/18
Joanderson;;Inter B;Fim do empréstimo;;Entradas 17/18
Paulinho Bóia;;São Paulo U20;-;;Entradas 17/18
Lucas Perri;;São Paulo U20;-;;Entradas 17/18
Brenner;;São Paulo U20;-;;Entradas 17/18
Lucas Paes;;São Paulo U20;-;;Entradas 17/18
Liziero;;São Paulo U20;-;;Entradas 17/18
Marquinhos Cipriano;;São Paulo U20;-;;Entradas 17/18
€ 17.36 mi.;€ 17.36 mi.;€ 17.36 mi.;€ 17.36 mi.;€ 17.36 mi.;Entradas 17/18
Lucas Pratto;;River Plate;€ 11.50 mi.;;Saídas 17/18
Luiz Araújo;;Lille;€ 10.50 mi.;;Saídas 17/18
Thiago Mendes;;Lille;€ 9.00 mi.;;Saídas 17/18
Maicon;;Galatasaray;€ 8.00 mi.;;Saídas 17/18
Lyanco;;Torino;€ 7.75 mi.;;Saídas 17/18
Ricardo Centurión;;Genoa;€ 3.80 mi.;;Saídas 17/18
Augusto Galvan;;Real Madrid S19;€ 3.00 mi.;;Saídas 17/18
Artur;;Columbus Crew;€ 1.27 mi.;;Saídas 17/18
Julio Buffarini;;Boca Juniors;€ 450 mil;;Saídas 17/18
Denis;;Figueirense;custo zero;;Saídas 17/18
João Schmidt;;Atalanta;custo zero;;Saídas 17/18
Léo Vieira;;Atlético-PR;custo zero;;Saídas 17/18
Douglas;;Chapecoense;custo zero;;Saídas 17/18
Gilberto;;Y. Malatyaspor;custo zero;;Saídas 17/18
Wesley;;Sport;custo zero;;Saídas 17/18
Breno;;Vasco da Gama;custo zero;;Saídas 17/18
Matheus Reis;;Moreirense;Empréstimo;;Saídas 17/18
Renan Ribeiro;;Estoril;custo zero;;Saídas 17/18
Lucão;;Estoril;Empréstimo;;Saídas 17/18
Douglas;;Chapecoense;Empréstimo;;Saídas 17/18
Daniel;;Ponte Preta;Empréstimo;;Saídas 17/18
Thomaz;;Paysandu;Empréstimo;;Saídas 17/18
Joanderson;;Atlético-GO;Empréstimo;;Saídas 17/18
Maicosuel;;Grêmio;Empréstimo;;Saídas 17/18
Jonatan Gómez;;Al-Fayha;Empréstimo;;Saídas 17/18
Roni;;Adanaspor;?;;Saídas 17/18
Pedro Bortoluzo;;Guarani;Empréstimo;;Saídas 17/18
Lucas Farias;;São Bento;Empréstimo;;Saídas 17/18
Lucas Kal;;Guarani;Empréstimo;;Saídas 17/18
Thomaz;;RB Brasil;Empréstimo;;Saídas 17/18
Wellington;;Vasco da Gama;Empréstimo;;Saídas 17/18
Léo Natel;;Fortaleza;Empréstimo;;Saídas 17/18
Régis;;Bahia;?;;Saídas 17/18
Edimar;;Cruzeiro;Fim do empréstimo;;Saídas 17/18
Marcinho;;São Bernardo;Fim do empréstimo;;Saídas 17/18
Morato;;Ituano;Fim do empréstimo;;Saídas 17/18
Diego Lugano;;Fim de carreira;-;;Saídas 17/18
Hernanes;;HB CFFC;Fim do empréstimo;;Saídas 17/18
Denilson Junior;;Granada B;Fim do empréstimo;;Saídas 17/18
Jucilei;;Shandong;Fim do empréstimo;;Saídas 17/18
Wellington Nem;;Shakhtar;Fim do empréstimo;;Saídas 17/18
Cícero;;Fluminense;Fim do empréstimo;;Saídas 17/18
Aderllan Santos;;Valencia;Fim do empréstimo;;Saídas 17/18
Danilo Belão;;Itumbiara;Empréstimo;;Saídas 17/18
Carlinhos;;Sem clube;-;;Saídas 17/18
€ 55.27 mi.;€ 55.27 mi.;€ 55.27 mi.;€ 55.27 mi.;€ 55.27 mi.;Saídas 17/18
Lucas Pratto;;Atlético-MG;€ 6.20 mi.;;Entradas 16/17
Maicon;;FC Porto;€ 5.75 mi.;;Entradas 16/17
Christian Cueva;;Toluca;€ 2.50 mi.;;Entradas 16/17
Julio Buffarini;;San Lorenzo;€ 1.80 mi.;;Entradas 16/17
Maicosuel;;Atlético-MG;€ 1.00 mi.;;Entradas 16/17
Andrés Chávez;;Boca Juniors;Valor de empréstimo: € 600 mil;;Entradas 16/17
Júnior Tavares;;Grêmio;€ 145 mil;;Entradas 16/17
Sidão;;GO Audax;€ 140 mil;;Entradas 16/17
Thomaz;;Wilstermann;€ 75 mil;;Entradas 16/17
Marcinho;;São Bernardo;Valor de empréstimo: € 55 mil;;Entradas 16/17
Neilton;;Cruzeiro;Empréstimo;;Entradas 16/17
Cícero;;Fluminense;Empréstimo;;Entradas 16/17
Gilberto;;Chicago;custo zero;;Entradas 16/17
Shaylon;;Chapecoense;custo zero;;Entradas 16/17
Douglas;;Dnipro;custo zero;;Entradas 16/17
Jucilei;;Shandong;Empréstimo;;Entradas 16/17
Edimar;;Cruzeiro;Empréstimo;;Entradas 16/17
Morato;;Ituano;Empréstimo;;Entradas 16/17
Wellington Nem;;Shakhtar;Empréstimo;;Entradas 16/17
Jean Carlos;;São Bernardo;Empréstimo;;Entradas 16/17
Robson;;Paraná;Empréstimo;;Entradas 16/17
Bruno Cortez;;Albirex Niigata;Fim do empréstimo;;Entradas 16/17
David Neres;;São Paulo U20;-;;Entradas 16/17
Ademilson;;Gamba Osaka;Fim do empréstimo;;Entradas 16/17
Lucas Farias;;Estoril;Fim do empréstimo;;Entradas 16/17
Reinaldo;;Ponte Preta;Fim do empréstimo;;Entradas 16/17
Bissoli;;São Paulo U20;-;;Entradas 16/17
Felipe Araruna;;São Paulo U20;-;;Entradas 16/17
Ewandro Costa;;Atlético-PR;Fim do empréstimo;;Entradas 16/17
Éder Militão;;São Paulo U20;-;;Entradas 16/17
Ytalo;;GO Audax;Fim do empréstimo;;Entradas 16/17
Rogério;;Sport;Fim do empréstimo;;Entradas 16/17
Joanderson;;São Paulo U20;-;;Entradas 16/17
Lucas Kal;;São Paulo U20;-;;Entradas 16/17
€ 18.27 mi.;€ 18.27 mi.;€ 18.27 mi.;€ 18.27 mi.;€ 18.27 mi.;Entradas 16/17
David Neres;;Ajax;€ 17.40 mi.;;Saídas 16/17
Ganso;;Sevilla;€ 9.50 mi.;;Saídas 16/17
Alan Kardec;;CQ Dangdai Lif.;€ 5.00 mi.;;Saídas 16/17
Ewandro Costa;;Udinese;€ 3.00 mi.;;Saídas 16/17
Ademilson;;Gamba Osaka;€ 2.99 mi.;;Saídas 16/17
Rogério;;Sport;€ 1.05 mi.;;Saídas 16/17
Rogério;;Sport;Valor de empréstimo: € 645 mil;;Saídas 16/17
Caramelo;;Chapecoense;Empréstimo;;Saídas 16/17
Ricardo Centurión;;Boca Juniors;Empréstimo;;Saídas 16/17
Joanderson;;Inter B;Empréstimo;;Saídas 16/17
Carlinhos;;Internacional;Empréstimo;;Saídas 16/17
Bruno Cortez;;Grêmio;custo zero;;Saídas 16/17
Michel Bastos;;Palmeiras;custo zero;;Saídas 16/17
Húdson;;Cruzeiro;Empréstimo;;Saídas 16/17
Roni;;Adanaspor;Empréstimo;;Saídas 16/17
Thiago Carleto;;Arouca;?;;Saídas 16/17
Ruan Café;;Vitória;?;;Saídas 16/17
Wellington;;Vasco da Gama;Empréstimo;;Saídas 16/17
Léo Vieira;;Paraná;Empréstimo;;Saídas 16/17
Breno;;Vasco da Gama;Empréstimo;;Saídas 16/17
Lucas Kal;;Paraná;Empréstimo;;Saídas 16/17
Daniel;;Coritiba;Empréstimo;;Saídas 16/17
Artur;;Columbus Crew;Empréstimo;;Saídas 16/17
Matheus Reis;;Bahia;Empréstimo;;Saídas 16/17
Ytalo;;GO Audax;Empréstimo;;Saídas 16/17
Reinaldo;;Chapecoense;Empréstimo;;Saídas 16/17
Eugenio Mena;;Cruzeiro;Fim do empréstimo;;Saídas 16/17
Kelvin;;FC Porto;Fim do empréstimo;;Saídas 16/17
Jean Carlos;;São Bernardo;Fim do empréstimo;;Saídas 16/17
Jonathan Calleri;;CD Maldonado;Fim do empréstimo;;Saídas 16/17
Wílder Guisao;;Toluca;Fim do empréstimo;;Saídas 16/17
Ytalo;;CRB;-;;Saídas 16/17
Neilton;;Cruzeiro;Fim do empréstimo;;Saídas 16/17
Robson;;Paraná;Fim do empréstimo;;Saídas 16/17
Allan Christian;;Sem clube;-;;Saídas 16/17
€ 39.59 mi.;€ 39.59 mi.;€ 39.59 mi.;€ 39.59 mi.;€ 39.59 mi.;Saídas 16/17
Maicon;;Grêmio;Fim do empréstimo € 1.59 mi.;;Entradas 15/16
Jonathan Calleri;;CD Maldonado;Valor de empréstimo: € 1.00 mi.;;Entradas 15/16
Kieza;;SH Shenxin;€ 910 mil;;Entradas 15/16
Rogério;;Náutico;€ 415 mil;;Entradas 15/16
Diego Lugano;;Cerro Porteño;custo zero;;Entradas 15/16
Luiz Eduardo;;São Caetano;custo zero;;Entradas 15/16
Kelvin;;FC Porto;Empréstimo;;Entradas 15/16
Eugenio Mena;;Cruzeiro;Empréstimo;;Entradas 15/16
Maicon;;FC Porto;Empréstimo;;Entradas 15/16
Wílder Guisao;;Toluca;Empréstimo;;Entradas 15/16
Ytalo;;GO Audax;-;;Entradas 15/16
Roni;;Ponte Preta;Fim do empréstimo;;Entradas 15/16
Allan Christian;;Nacional-SP;Fim do empréstimo;;Entradas 15/16
Lucas Fernandes;;São Paulo U20;-;;Entradas 15/16
Artur;;São Paulo U20;-;;Entradas 15/16
Roni;;Chiapas FC;Fim do empréstimo;;Entradas 15/16
Lucas Farias;;Náutico;Fim do empréstimo;;Entradas 15/16
Wellington;;Internacional;Fim do empréstimo;;Entradas 15/16
Caramelo;;Chapecoense;Fim do empréstimo;;Entradas 15/16
Luis Ricardo;;Botafogo;Fim do empréstimo;;Entradas 15/16
Thiago Carleto;;Botafogo;Fim do empréstimo;;Entradas 15/16
Ademilson;;Yokohama F. M.;Fim do empréstimo;;Entradas 15/16
Roni;;Paysandu;Fim do empréstimo;;Entradas 15/16
Luiz Araújo;;Novorizontino;Fim do empréstimo;;Entradas 15/16
€ 3.92 mi.;€ 3.92 mi.;€ 3.92 mi.;€ 3.92 mi.;€ 3.92 mi.;Entradas 15/16
Gabriel Boschilia;;Monaco;€ 9.00 mi.;;Saídas 15/16
Souza;;Fenerbahce;€ 8.00 mi.;;Saídas 15/16
Rafael Tolói;;Atalanta;€ 3.87 mi.;;Saídas 15/16
Denílson;;Al-Wahda;€ 3.10 mi.;;Saídas 15/16
Paulo Miranda;;RB Salzburg;€ 2.70 mi.;;Saídas 15/16
Jonathan Cafu;;Ludogorets;€ 2.20 mi.;;Saídas 15/16
Kieza;;Vitória;€ 970 mil;;Saídas 15/16
Ademilson;;Gamba Osaka;Valor de empréstimo: € 300 mil;;Saídas 15/16
Luís Fabiano;;TJ Quanjian;custo zero;;Saídas 15/16
Léo Navacchio;;Portimonense;custo zero;;Saídas 15/16
Édson Silva;;Estrela V.;custo zero;;Saídas 15/16
Allan Christian;;Nacional-SP;Empréstimo;;Saídas 15/16
Ewandro Costa;;Atlético-PR;Empréstimo;;Saídas 15/16
Roni;;Paysandu;Empréstimo;;Saídas 15/16
Roni;;Chiapas FC;Empréstimo;;Saídas 15/16
Roni;;Adanaspor;?;;Saídas 15/16
Leonardo Vencato;;Joinville;?;;Saídas 15/16
Luiz Araújo;;Novorizontino;Empréstimo;;Saídas 15/16
Reinaldo;;Ponte Preta;Empréstimo;;Saídas 15/16
Mirrai;;São Bento;?;;Saídas 15/16
Luis Ricardo;;Botafogo;?;;Saídas 15/16
Roni;;Ceará;Empréstimo;;Saídas 15/16
Lucas Farias;;Estoril;Empréstimo;;Saídas 15/16
Luiz Eduardo;;Fim de carreira;-;;Saídas 15/16
Maicon;;Grêmio;-;;Saídas 15/16
Rogério Ceni;;Fim de carreira;-;;Saídas 15/16
€ 30.14 mi.;€ 30.14 mi.;€ 30.14 mi.;€ 30.14 mi.;€ 30.14 mi.;Saídas 15/16
Alan Kardec;;Benfica;€ 4.50 mi.;;Entradas 14/15
Ricardo Centurión;;Racing;€ 4.20 mi.;;Entradas 14/15
Kaká;;Orlando;Valor de empréstimo: € 1.80 mi.;;Entradas 14/15
Thiago Mendes;;Goiás;€ 1.80 mi.;;Entradas 14/15
Jonathan Cafu;;Ponte Preta;€ 850 mil;;Entradas 14/15
Carlinhos;;Fluminense;custo zero;;Entradas 14/15
Wesley;;Palmeiras;custo zero;;Entradas 14/15
Daniel;;Botafogo;custo zero;;Entradas 14/15
Souza;;Grêmio;custo zero;;Entradas 14/15
Matheus Dória;;Marselha;Empréstimo;;Entradas 14/15
Bruno;;Fluminense;?;;Entradas 14/15
Ruan Café;;Vitória U20;?;;Entradas 14/15
Michel Bastos;;Al-Ain;?;;Entradas 14/15
Matheus Reis;;Atl. Sorocaba;Fim do empréstimo;;Entradas 14/15
Lucas Farias;;São Paulo U20;-;;Entradas 14/15
Roni;;Chapecoense;Fim do empréstimo;;Entradas 14/15
Fabrício;;Vasco da Gama;Fim do empréstimo;;Entradas 14/15
Caramelo;;Atlético-GO;Fim do empréstimo;;Entradas 14/15
Léo Navacchio;;Oeste;Fim do empréstimo;;Entradas 14/15
Dener;;América-RN;Fim do empréstimo;;Entradas 14/15
João Filipe;;Avaí;Fim do empréstimo;;Entradas 14/15
Breno;;Pausa;-;;Entradas 14/15
Thiago Carleto;;Avaí;Fim do empréstimo;;Entradas 14/15
Allan Christian;;RB Brasil;Fim do empréstimo;;Entradas 14/15
Marcelo Cañete;;Náutico;Fim do empréstimo;;Entradas 14/15
Allan Christian;;Noroeste;Fim do empréstimo;;Entradas 14/15
Rhodolfo;;Grêmio;Fim do empréstimo;;Entradas 14/15
Bruno Cortez;;Criciúma;Fim do empréstimo;;Entradas 14/15
Lyanco;;São Paulo U20;-;;Entradas 14/15
Léo Navacchio;;América-RN;Fim do empréstimo;;Entradas 14/15
Allan Christian;;Nacional-SP;Fim do empréstimo;;Entradas 14/15
Roni;;XV Piracicaba;Fim do empréstimo;;Entradas 14/15
Marcelo Cañete;;São Bernardo;Fim do empréstimo;;Entradas 14/15
€ 13.15 mi.;€ 13.15 mi.;€ 13.15 mi.;€ 13.15 mi.;€ 13.15 mi.;Entradas 14/15
Lucas Evangelista;;Udinese;€ 4.00 mi.;;Saídas 14/15
Douglas;;Barcelona;€ 4.00 mi.;;Saídas 14/15
Osvaldo;;Al-Ahli;€ 1.80 mi.;;Saídas 14/15
Clemente Rodríguez;;Colón;custo zero;;Saídas 14/15
Antônio Carlos;;Fluminense;custo zero;;Saídas 14/15
Rhodolfo;;Grêmio;custo zero;;Saídas 14/15
Bruno Cortez;;Albirex Niigata;Empréstimo;;Saídas 14/15
Léo Navacchio;;América-RN;Empréstimo;;Saídas 14/15
Roni;;XV Piracicaba;Empréstimo;;Saídas 14/15
Marcelo Cañete;;Náutico;Empréstimo;;Saídas 14/15
João Filipe;;Avaí;Empréstimo;;Saídas 14/15
Roni;;Ponte Preta;Empréstimo;;Saídas 14/15
João Schmidt;;Vitória FC;Empréstimo;;Saídas 14/15
Rafinha;;Portimonense;?;;Saídas 14/15
Lucas Farias;;Náutico;Empréstimo;;Saídas 14/15
Caramelo;;Chapecoense;Empréstimo;;Saídas 14/15
Allan Christian;;RB Brasil;Empréstimo;;Saídas 14/15
Allan Christian;;Nacional-SP;Empréstimo;;Saídas 14/15
Ademilson;;Yokohama F. M.;Empréstimo;;Saídas 14/15
João Filipe;;Tombense;?;;Saídas 14/15
Marcelo Cañete;;São Bernardo;Empréstimo;;Saídas 14/15
Thiago Carleto;;Botafogo;Empréstimo;;Saídas 14/15
Luis Ricardo;;Botafogo;Empréstimo;;Saídas 14/15
Kaká;;Orlando;Fim do empréstimo;;Saídas 14/15
Alexandre Pato;;Corinthians;Fim do empréstimo;;Saídas 14/15
Souza;;Grêmio;Fim do empréstimo;;Saídas 14/15
Álvaro Pereira;;Inter;Fim do empréstimo;;Saídas 14/15
Roger Carvalho;;Tombense;Fim do empréstimo;;Saídas 14/15
Marcelo Cañete;;Sem clube;-;;Saídas 14/15
Maicon;;Grêmio;Empréstimo;;Saídas 14/15
Dener;;Portimonense;-;;Saídas 14/15
Fabrício;;Sem clube;-;;Saídas 14/15
€ 9.80 mi.;€ 9.80 mi.;€ 9.80 mi.;€ 9.80 mi.;€ 9.80 mi.;Saídas 14/15
Luis Ricardo;;Portuguesa;custo zero;;Entradas 13/14
Welliton;;Spartak Moscou;Empréstimo;;Entradas 13/14
Clemente Rodríguez;;Boca Juniors;custo zero;;Entradas 13/14
Denílson;;Arsenal;custo zero;;Entradas 13/14
Reinaldo;;Penapolense;?;;Entradas 13/14
Antônio Carlos;;Atlético-PR;?;;Entradas 13/14
Roger Carvalho;;Tombense;Empréstimo;;Entradas 13/14
Dorlan Pabón;;Valencia;Empréstimo;;Entradas 13/14
Álvaro Pereira;;Inter;Empréstimo;;Entradas 13/14
Húdson;;Botafogo-SP;?;;Entradas 13/14
Alexandre Pato;;Corinthians;Empréstimo;;Entradas 13/14
Souza;;Grêmio;Empréstimo;;Entradas 13/14
Léo Navacchio;;Sertãozinho;Fim do empréstimo;;Entradas 13/14
Dener;;Ituano;Fim do empréstimo;;Entradas 13/14
Rafinha;;Ceará;Fim do empréstimo;;Entradas 13/14
Juan;;Vitória;Fim do empréstimo;;Entradas 13/14
Roni;;Goiás;Fim do empréstimo;;Entradas 13/14
Bruno Cortez;;Benfica;Fim do empréstimo;;Entradas 13/14
Marcelo Cañete;;Portuguesa;Fim do empréstimo;;Entradas 13/14
Mazola;;HZ Greentown;Fim do empréstimo;;Entradas 13/14
João Filipe;;Náutico;Fim do empréstimo;;Entradas 13/14
Lucão;;São Paulo U20;-;;Entradas 13/14
Ewandro Costa;;São Paulo U17;-;;Entradas 13/14
Lucas Evangelista;;São Paulo U20;-;;Entradas 13/14
Roni;;Sagan Tosu;Fim do empréstimo;;Entradas 13/14
Matheus Reis;;São Paulo U20;-;;Entradas 13/14
Gabriel Boschilia;;São Paulo U20;-;;Entradas 13/14
Léo Vieira;;Linense;Fim do empréstimo;;Entradas 13/14
0;0.0;0;0;0.0;Entradas 13/14
Casemiro;;Real Madrid;€ 6.00 mi.;;Saídas 13/14
Aloísio;;Shandong;€ 5.00 mi.;;Saídas 13/14
Rafael Tolói;;Roma;Valor de empréstimo: € 500 mil;;Saídas 13/14
Lúcio;;Palmeiras;custo zero;;Saídas 13/14
Jádson;;Corinthians;custo zero;;Saídas 13/14
Matheus Reis;;Atl. Sorocaba;Empréstimo;;Saídas 13/14
Lucas Mendes;;Inter Limeira;custo zero;;Saídas 13/14
Silvinho;;Penapolense;custo zero;;Saídas 13/14
Juan;;Vitória;custo zero;;Saídas 13/14
Roni;;Coritiba;Empréstimo;;Saídas 13/14
Rafinha;;América-RN;Empréstimo;;Saídas 13/14
Rafinha;;Ceará;Empréstimo;;Saídas 13/14
Juan;;Vitória;Empréstimo;;Saídas 13/14
Roni;;Goiás;Empréstimo;;Saídas 13/14
Dener;;Ituano;Empréstimo;;Saídas 13/14
Rhodolfo;;Grêmio;Empréstimo;;Saídas 13/14
Bruno Cortez;;Benfica;Empréstimo;;Saídas 13/14
Wellington;;Internacional;Empréstimo;;Saídas 13/14
Bruno Cortez;;Criciúma;Empréstimo;;Saídas 13/14
Léo Navacchio;;Oeste;Empréstimo;;Saídas 13/14
Mazola;;Portimonense;?;;Saídas 13/14
Léo Vieira;;Linense;Empréstimo;;Saídas 13/14
Caramelo;;Atlético-GO;Empréstimo;;Saídas 13/14
Diego;;Paulista;?;;Saídas 13/14
Thiago Carleto;;Ponte Preta;Empréstimo;;Saídas 13/14
Roni;;Chapecoense;Empréstimo;;Saídas 13/14
Dener;;América-RN;Empréstimo;;Saídas 13/14
Allan Christian;;Noroeste;Empréstimo;;Saídas 13/14
Negueba;;Flamengo;Fim do empréstimo;;Saídas 13/14
Reinaldo;;Penapolense;Fim do empréstimo;;Saídas 13/14
Welliton;;Spartak Moscou;Fim do empréstimo;;Saídas 13/14
€ 11.50 mi.;€ 11.50 mi.;€ 11.50 mi.;€ 11.50 mi.;€ 11.50 mi.;Saídas 13/14
Ganso;;Santos;€ 9.00 mi.;;Entradas 12/13
Rafael Tolói;;Goiás;€ 3.00 mi.;;Entradas 12/13
Paulo Assunção;;Atlético;custo zero;;Entradas 12/13
Gladestony;;Desp. Brasil;Empréstimo;;Entradas 12/13
Silvinho;;Penapolense;custo zero;;Entradas 12/13
Lúcio;;Juventus;custo zero;;Entradas 12/13
Renan Ribeiro;;Atlético-MG;custo zero;;Entradas 12/13
Aloísio;;Tombense;?;;Entradas 12/13
Roni;;Mogi Mirim;?;;Entradas 12/13
Caramelo;;Mogi Mirim;?;;Entradas 12/13
Wallyson;;CD Maldonado;Empréstimo;;Entradas 12/13
Negueba;;Flamengo;Empréstimo;;Entradas 12/13
Henrique Almeida;;Sport;Fim do empréstimo;;Entradas 12/13
Bruno Formigoni;;Guaratinguetá;Fim do empréstimo;;Entradas 12/13
Roni;;Gyeongnam FC;Fim do empréstimo;;Entradas 12/13
Juninho;;LA Galaxy;Fim do empréstimo;;Entradas 12/13
Mazola;;HZ Greentown;Fim do empréstimo;;Entradas 12/13
Juan;;Santos;Fim do empréstimo;;Entradas 12/13
Thiago Carleto;;Fluminense;Fim do empréstimo;;Entradas 12/13
Sérgio Mota;;Santo André;Fim do empréstimo;;Entradas 12/13
Lucas Mendes;;Santo André;Fim do empréstimo;;Entradas 12/13
Carlinhos Paraíba;;Omiya Ardija;Fim do empréstimo;;Entradas 12/13
Cléber Santana;;Avaí;Fim do empréstimo;;Entradas 12/13
Allan Christian;;São Paulo U20;-;;Entradas 12/13
Diego;;São Paulo U20;-;;Entradas 12/13
Dener;;Guarani;Fim do empréstimo;;Entradas 12/13
Rafinha;;Guarani;Fim do empréstimo;;Entradas 12/13
Cléber Santana;;Flamengo;Fim do empréstimo;;Entradas 12/13
€ 12.00 mi.;€ 12.00 mi.;€ 12.00 mi.;€ 12.00 mi.;€ 12.00 mi.;Entradas 12/13
Lucas Moura;;PSG;€ 40.00 mi.;;Saídas 12/13
Bruno Uvini;;Napoli;€ 3.00 mi.;;Saídas 12/13
Carlinhos Paraíba;;Omiya Ardija;€ 1.20 mi.;;Saídas 12/13
Henrique Almeida;;Botafogo;€ 750 mil;;Saídas 12/13
Sérgio Mota;;Penapolense;custo zero;;Saídas 12/13
Paulo Assunção;;Deportivo;custo zero;;Saídas 12/13
Bruno Formigoni;;Guaratinguetá;custo zero;;Saídas 12/13
Eric;;Penapolense;custo zero;;Saídas 12/13
Cléber Santana;;Flamengo;Empréstimo;;Saídas 12/13
Diogo Silvestre;;Braga B;custo zero;;Saídas 12/13
Cléber Santana;;Flamengo;custo zero;;Saídas 12/13
Alex Cazumba;;Skoda Xanthi;custo zero;;Saídas 12/13
João Filipe;;Náutico;Empréstimo;;Saídas 12/13
Dener;;Guarani;Empréstimo;;Saídas 12/13
Rafinha;;Guarani;Empréstimo;;Saídas 12/13
Marcelo Cañete;;Portuguesa;Empréstimo;;Saídas 12/13
Roni;;Sagan Tosu;Empréstimo;;Saídas 12/13
Mazola;;HZ Greentown;Empréstimo;;Saídas 12/13
Juninho;;LA Galaxy;?;;Saídas 12/13
Zé Vitor;;São Caetano;?;;Saídas 12/13
Paulinho;;Sem clube;-;;Saídas 12/13
Casemiro;;RM Castilla;Empréstimo;;Saídas 12/13
Willian José;;CD Maldonado;Fim do empréstimo;;Saídas 12/13
Cícero;;Tombense;Fim do empréstimo;;Saídas 12/13
€ 44.95 mi.;€ 44.95 mi.;€ 44.95 mi.;€ 44.95 mi.;€ 44.95 mi.;Saídas 12/13
Jádson;;Shakhtar;€ 4.00 mi.;;Entradas 11/12
Bruno Cortez;;Nova Iguaçu;€ 3.30 mi.;;Entradas 11/12
Marcelo Cañete;;Boca Juniors;€ 2.10 mi.;;Entradas 11/12
Iván Piris;;CD Maldonado;Valor de empréstimo: € 2.00 mi.;;Entradas 11/12
Osvaldo;;Al-Ahli (UAE);€ 2.00 mi.;;Entradas 11/12
Denílson;;Arsenal;Valor de empréstimo: € 400 mil;;Entradas 11/12
Fabrício;;Cruzeiro;custo zero;;Entradas 11/12
Cícero;;Tombense;Empréstimo;;Entradas 11/12
João Filipe;;Botafogo;Empréstimo;;Entradas 11/12
Maicon;;Figueirense;Empréstimo;;Entradas 11/12
João Filipe;;Botafogo;?;;Entradas 11/12
Édson Silva;;Villa Rio;?;;Entradas 11/12
Paulo Miranda;;Desp. Brasil;?;;Entradas 11/12
Douglas;;Desp. Brasil;?;;Entradas 11/12
Eric;;Barretos;Fim do empréstimo;;Entradas 11/12
Roni;;Paulista;Fim do empréstimo;;Entradas 11/12
Jackson;;Dallas;Fim do empréstimo;;Entradas 11/12
Roni;;Gyeongnam FC;Fim do empréstimo;;Entradas 11/12
Sérgio Mota;;Icasa;Fim do empréstimo;;Entradas 11/12
Diogo Silvestre;;Anderlecht;Fim do empréstimo;;Entradas 11/12
Cléber Santana;;Atlético-PR;Fim do empréstimo;;Entradas 11/12
Thiago Carleto;;América-MG;Fim do empréstimo;;Entradas 11/12
Mazola;;Urawa Reds;Fim do empréstimo;;Entradas 11/12
Marcelinho Paraíba;;Sport;Fim do empréstimo;;Entradas 11/12
Henrique Almeida;;Vitória;Fim do empréstimo;;Entradas 11/12
Wagner Diniz;;Atlético-PR;Fim do empréstimo;;Entradas 11/12
Juninho;;LA Galaxy;Fim do empréstimo;;Entradas 11/12
